Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
8019;;OUI;;22;4;1;3;OUI;OUI;2026-09-26T01:59:00+02:00;;;;
16112;;OUI;;29;7;6;1;OUI;OUI;2026-09-26T01:57:58+02:00;;;;
20201;;OUI;;14;6;2;4;OUI;OUI;2026-09-26T01:59:23+02:00;;;;
22102;;OUI;;6;18;16;2;OUI;OUI;2026-09-26T01:59:00+02:00;;;;
6107;;OUI;;22;1;1;0;NON;NON;2026-09-26T01:56:13+02:00;;;;
15003;;OUI;;38;27;9;18;OUI;OUI;2026-09-26T01:54:17+02:00;;;;
4110;;OUI;;12;8;8;0;OUI;OUI;2026-09-26T01:57:24+02:00;;;;
6103;;OUI;;55;0;0;0;NON;NON;2026-09-26T01:53:49+02:00;;;;
6017;;OUI;;32;1;0;1;OUI;OUI;2026-09-26T01:59:34+02:00;;;;
11043;;OUI;;9;12;11;1;OUI;OUI;2026-09-26T01:59:19+02:00;;;;
9101;;OUI;;14;3;2;1;OUI;OUI;2026-09-26T01:56:49+02:00;;;;
18017;;OUI;;40;2;0;2;OUI;OUI;2026-09-26T01:57:57+02:00;;;;
19041;;OUI;;33;8;7;1;OUI;OUI;2026-09-26T01:58:46+02:00;;;;
12161;;OUI;;4;37;32;5;OUI;OUI;2026-09-26T01:59:07+02:00;;;;
45502;;OUI;;7;11;0;11;OUI;OUI;2026-09-26T01:58:34+02:00;;;;
31704;;OUI;;5;23;0;23;OUI;OUI;2026-09-26T01:58:00+02:00;;;;
32603;;OUI;;23;8;0;8;OUI;OUI;2026-09-26T01:57:38+02:00;;;;
17201;;OUI;;46;1;0;1;OUI;OUI;2026-09-26T01:56:45+02:00;;;;
23403;;OUI;;10;11;6;5;OUI;OUI;2026-09-26T01:59:24+02:00;;;;
4013;;OUI;;22;7;7;0;OUI;OUI;2026-09-26T01:59:14+02:00;;;;
45001;;OUI;;2;19;0;19;OUI;OUI;2026-09-26T01:57:47+02:00;;;;
2001;;OUI;;26;4;4;0;OUI;OUI;2026-09-26T01:58:41+02:00;;;;
19023;;OUI;;22;4;0;4;OUI;OUI;2026-09-26T01:49:51+02:00;;;;
20019;;OUI;;29;2;0;2;OUI;OUI;2026-09-26T01:59:10+02:00;;;;
18138;;OUI;;17;2;2;0;OUI;OUI;2026-09-26T01:49:41+02:00;;;;
17116;;OUI;;15;10;6;4;OUI;OUI;2026-09-26T01:53:42+02:00;;;;
18208;;OUI;;13;3;0;3;OUI;OUI;2026-09-26T01:57:40+02:00;;;;
13041;;OUI;;50;0;0;0;OUI;OUI;2026-09-26T01:57:40+02:00;;;;
7016;;OUI;;41;13;13;0;OUI;OUI;2026-09-26T01:58:33+02:00;;;;
12108;;OUI;;24;41;40;1;OUI;OUI;2026-09-26T01:58:29+02:00;;;;
14006;;OUI;;14;8;1;7;OUI;OUI;2026-09-26T01:58:20+02:00;;;;
21114;;OUI;;5;25;18;7;OUI;OUI;2026-09-26T01:57:57+02:00;;;;
31013;;OUI;;30;14;4;10;OUI;OUI;2026-09-26T01:57:59+02:00;;;;
42301;;OUI;;13;13;4;9;OUI;OUI;2026-09-26T01:59:20+02:00;;;;
18019;;OUI;;41;11;1;10;OUI;OUI;2026-09-26T01:59:27+02:00;;;;
11003;;OUI;;6;27;27;0;OUI;OUI;2026-09-26T01:59:25+02:00;;;;
41206;;OUI;;25;8;1;7;OUI;OUI;2026-09-26T01:59:25+02:00;;;;
13113;;OUI;;28;5;1;4;OUI;OUI;2026-09-26T01:58:57+02:00;;;;
19031;;OUI;;8;15;2;13;OUI;OUI;2026-09-26T01:59:12+02:00;;;;
13114;;OUI;;16;7;2;5;OUI;OUI;2026-09-26T01:53:56+02:00;;;;
